,Cdd,Hdd
USA_CA_Los.Angeles.Intl.AP.722950_TMY3,704,1456
USA_CA_Hawthorne-Jack.Northrop.Field.722956_TMY3,834,1564
USA_CA_Los.Angeles.722950_TMY2,768,1589
USA_CA_San.Diego-North.Island.NAS.722906_TMY3,547,1618
USA_CA_Santa.Monica.Muni.AP.722885_TMY3,728,1652
USA_CA_Los.Angeles.Intl.AP.722950_TMY,723,1751
USA_CA_San.Diego-Montgomery.Field.722903_TMY3,897,1841
USA_CA_Carlsbad.722927_TMY3,468,2003
USA_CA_El.Toro.MCAS.690140_TMY,1257,2003
USA_CA_Chula.Vista-Brown.Field.Muni.AP.722904_TMY3,791,2026
USA_CA_San.Diego-Miramar.NAS.722930_TMY3,1076,2149
USA_CA_Oxnard.AP.723927_TMY3,409,2245
USA_CA_Camarillo.AWOS.723926_TMY3,749,2394
USA_CA_Point.Mugu.NAS.723910_TMY,434,2478
USA_CA_Camp.Pendleton.MCAS.722926_TMY3,885,2494
USA_CA_Point.Mugu.NAS.723910_TMY3,348,2575
USA_CA_Hayward.Air.Terminal.724935_TMY3,667,2627
USA_CA_San.Jose.Intl.AP.724945_TMY3,795,2702
USA_CA_Santa.Barbara.Muni.AP.723925_TMY3,441,2769
USA_CA_Mountain.View-Moffett.Field.NAS.745090_TMY3,742,2795
USA_CA_San.Luis.Obispo.AP.722897_TMY3,739,2876
USA_CA_Concord-Buchanan.Field.724936_TMY3,1235,2939
USA_CA_San.Francisco.Intl.AP.724940_TMY3,355,2996
USA_CA_Mountain.View-Moffett.Field.NAS.745090_TMY,496,3021
USA_CA_Stockton.Metro.AP.724920_TMY3,1826,3024
USA_CA_Oakland.Intl.AP.724930_TMY3,361,3043
USA_CA_Sacramento.Exec.AP.724830_TMY3,1666,3082
USA_CA_Sacramento.Metro.AP.724839_TMY3,1794,3093
USA_CA_Oakland.Intl.AP.724930_TMY,265,3114
USA_CA_Fairfield-Travis.AFB.745160_TMY3,1768,3172
USA_CA_Salinas.Muni.AP.724917_TMY3,401,3175
USA_CA_Sacramento.Exec.AP.724830_TMY,1613,3212
USA_CA_Sacramento.724835_TMY2,1589,3240
USA_CA_Santa.Maria.Public.AP.723940_TMY3,478,3242
USA_CA_Paso.Robles.Muni.AP.723965_TMY3,1640,3346
USA_CA_Santa.Maria.Public.AP.723940_TMY,435,3398
USA_CA_Livermore.Muni.AP.724927_TMY3,1146,3399
USA_CA_Monterey.NAF.724915_TMY3,243,3399
USA_NC_Winston.Salem-Smith.Reynolds.AP.723193_TMY3,1472,3446
USA_CA_Santa.Rosa.AWOS.724957_TMY3,916,3449
USA_CA_San.Francisco.724940_TMY2,305,3472
USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY,1649,3504
USA_CA_San.Francisco.Intl.AP.724940_TMY,327,3506
USA_CA_Santa.Maria.723940_TMY2,419,3518
USA_CA_Ukiah.Muni.AP.725905_TMY3,1457,3572
USA_CA_Lompoc.AWOS.722895_TMY3,339,3580
USA_SC_Greenville-Spartanburg.723120_TMY2,1703,3625
USA_CA_Napa.County.AP.724955_TMY3,642,3634
USA_NC_Hickory.Rgnl.AP.723145_TMY3,1662,3711
USA_MD_Patuxent.River.NAS.724040_TMY3,1581,3736
USA_TX_Marfa.AP.722640_TMY3,1664,3743
USA_NC_Raleigh-Durham.Intl.AP.723060_TMY,1620,3786
USA_NC_Raleigh-Durham.723060_TMY2,1599,3832
USA_VA_Petersburg.Muni.AP.724014_TMY3,1715,3878
USA_TN_Knoxville.723260_TMY2,1582,3879
USA_SC_Greenville-Downtown.AP.723119_TMY3,1628,3881
USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY,1809,3920
USA_VA_Charlottesville-Albemarle.County.AP.724016_TMY3,1417,3988
USA_NC_Jacksonville.AWOS.723069_TMY3,1699,4150
