,Cdd,Hdd
USA_GA_Marietta-Dobbins.AFB.722270_TMY3,1631,3982
USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY,1694,4037
USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY,1534,4041
USA_VA_Melfa-Accomack.County.AP.724026_TMY3,1591,4066
USA_KY_Paducah-Barkley.Rgnl.AP.724350_TMY3,1697,4069
USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3,1596,4095
USA_KY_Jackson-Julian.Carroll.AP.724236_TMY3,1330,4102
USA_VA_Richmond.Intl.AP.724010_TMY3,1742,4131
USA_KY_Louisville-Bowman.Field.724235_TMY3,1544,4157
USA_MD_Patuxent.River.NAS.724040_TMY,1439,4165
USA_OR_Roseburg.Rgnl.AP.726904_TMY3,772,4165
USA_VA_Richmond.Intl.AP.724010_TMY,1561,4179
USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3,1704,4180
USA_AR_Springdale.Muni.AP.723434_TMY3,1704,4189
USA_KY_Somerset-Pulaski.County.AWOS.724354_TMY3,1827,4201
USA_MD_Salisbury-Wicomico.County.Rgnl.AP.724045_TMY3,1528,4212
USA_TN_Crossville.Mem.AP.723265_TMY3,1170,4215
USA_VA_Quantico.MCAS.724035_TMY3,1433,4311
USA_NC_Greensboro.723170_TMY2,1458,4325
USA_VA_Richmond.724010_TMY2,1533,4331
USA_VA_Farmville.Muni.AP.724017_TMY3,1602,4369
USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3,1703,4395
USA_VA_Langley.AFB.745980_TMY3,1628,4402
USA_IN_Huntingburg.Muni.AP.724365_TMY3,1635,4410
USA_TX_Amarillo.Intl.AP.723630_TMY3,1715,4433
USA_NJ_Cape.May.County.AP.745966_TMY3,1179,4445
USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3,1524,4458
USA_OR_Portland.Intl.AP.726980_TMY3,648,4467
USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY,1408,4470
USA_VA_Roanoke.724110_TMY2,1307,4489
USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3,1396,4489
USA_NC_Asheville.Rgnl.AP.723150_TMY,1023,4506
USA_NY_New.York-LaGuardia.AP.725030_TMY3,1472,4544
USA_WA_Seattle-Boeing.Field.727935_TMY3,358,4557
USA_KS_Wichita-Mid.Continent.AP.724500_TMY3,1788,4557
USA_NC_Asheville.Rgnl.AP.723150_TMY3,1101,4558
USA_AR_Bentonville.AWOS.723444_TMY3,1692,4579
USA_KY_Bowling.Green-Warren.County.AP.746716_TMY3,1607,4583
USA_TN_Bristol.723183_TMY2,1171,4587
USA_OR_Aurora.State.AP.726959_TMY3,645,4591
