,Cdd,Hdd
USA_UT_Blanding.Muni.AP.724723_TMY3,1413,5774
USA_NV_Tonopah.AP.724855_TMY3,1197,5879
USA_UT_Salt.Lake.City.725720_TMY2,1318,5900
USA_CO_Grand.Junction.724760_TMY2,1425,5957
USA_WA_Hanford.727840_TMY3,1306,5970
USA_CO_Denver.Intl.AP.725650_TMY3,1244,5976
USA_CO_Grand.Junction-Walker.Field.724760_TMY,1477,5983
USA_WA_Wenatchee-Pangborn.Mem.AP.727825_TMY3,1104,5991
USA_ID_Boise.Air.Terminal.726810_TMY,1055,6012
USA_UT_Ogden-Hinkley.AP.725750_TMY3,1305,6047
USA_NV_Tonopah.AP.724855_TMY,1040,6082
USA_NM_Los.Alamos.723654_TMY2,646,6102
USA_UT_Wendover.USAF.Auxiliary.Field.725810_TMY3,1404,6164
USA_UT_Provo.Muni.AWOS.725724_TMY3,1194,6171
USA_UT_Cedar.City.Muni.AP.724755_TMY3,1140,6171
USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3,1005,6204
USA_ID_Caldwell.AWOS.726813_TMY3,1027,6206
USA_UT_Ogden-Hill.AFB.725755_TMY3,1209,6257
USA_NV_Lovelock-Derby.Field.725805_TMY,1197,6306
USA_UT_Salt.Lake.City.Intl.AP.725720_TMY,1246,6309
USA_UT_Cedar.City.Muni.AP.724755_TMY,1012,6309
USA_NV_Reno.724880_TMY2,929,6311
USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY,866,6317
USA_ID_Boise.726810_TMY2,1018,6327
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY,838,6361
USA_CO_Montrose.County.AP.724765_TMY3,1149,6389
USA_CO_Akron-Washington.County.AP.724698_TMY3,1132,6401
USA_UT_Delta.Muni.AP.724795_TMY3,1181,6405
USA_NV_Reno-Tahoe.Intl.AP.724880_TMY,923,6412
USA_CO_Boulder.724699_TMY2,1021,6412
USA_CO_Aurora-Buckley.Field.ANGB.724695_TMY3,1147,6419
USA_CO_Golden-NREL.724666_TMY3,893,6426
USA_WA_Yakima.727810_TMY2,795,6438
USA_ID_Twin.Falls-Magic.Valley.Rgnl.AP-Joslin.Field.725866_TMY3,1032,6446
USA_UT_Cedar.City.724755_TMY2,1047,6450
USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3,845,6457
USA_CO_Rifle-Garfield.County.Rgnl.AP.725717_TMY3,1157,6466
USA_CO_Cortez-Montezuma.County.AP.724767_TMY3,1068,6468
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3,834,6469
USA_CO_Denver-Stapleton.724690_TMY,933,6469
USA_ID_Mountain.Home.AFB.726815_TMY3,1220,6504
USA_NM_Gallup-Sen.Clarke.Field.723627_TMY3,890,6504
USA_OR_La.Grande.Muni.AP.726884_TMY3,729,6561
USA_ID_Burley.Muni.AP.725867_TMY3,985,6581
USA_NV_Winnemucca.Muni.AP.725830_TMY3,1112,6701
USA_CO_Colorado.Springs.724660_TMY2,746,6858
USA_NE_Scottsbluff.725660_TMY2,1134,6872
USA_NV_Winnemucca.725830_TMY2,1059,6897
USA_NE_Chadron.Muni.AP.725636_TMY3,1205,6936
USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3,1165,6966
USA_CA_Alturas.725958_TMY3,861,7001
USA_CO_Limon.Muni.AP.724665_TMY3,797,7002
USA_NV_Winnemucca.Muni.AP.725830_TMY,1014,7006
USA_WA_Spokane.Intl.AP.727850_TMY3,639,7015
USA_OR_Redmond-Roberts.Field.726835_TMY3,637,7016
USA_WA_Spokane.Intl.AP.727850_TMY,656,7020
USA_MT_Billings-Logan.Intl.AP.726770_TMY3,882,7066
USA_UT_Vernal.AP.725705_TMY3,954,7090
USA_OR_Redmond-Roberts.Field.726835_TMY,618,7095
USA_WA_Spokane.727855_TMY2,660,7142
USA_OR_Redmond.726835_TMY2,609,7150
USA_ID_Malad.City.AP.725786_TMY3,1044,7182
USA_OR_Klamath.Falls.Intl.AP.725895_TMY3,615,7188
USA_AZ_Grand.Canyon.National.Park.AP.723783_TMY3,681,7189
USA_CO_Greeley-Weld.County.AWOS.724768_TMY3,925,7243
USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY,1053,7269
USA_NE_Sidney.Muni.AP.725610_TMY3,907,7284
USA_WY_Gillette-Gillette.County.AP.726650_TMY3,1061,7290
USA_MT_Billings.726770_TMY2,888,7363
USA_CO_Fort.Collins.AWOS.724769_TMY3,852,7396
USA_NM_Taos.Muni.AP.723663_TMY3,695,7400
USA_OR_Burns.726830_TMY2,620,7405
USA_WY_Cody.Muni.AWOS.726700_TMY3,700,7407
USA_MT_Billings-Logan.Intl.AP.726770_TMY,879,7468
USA_ID_Pocatello.Muni.AP.725780_TMY,880,7478
USA_MT_Livingston-Mission.Field.726798_TMY3,765,7505
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3,503,7506
USA_AK_Hydaburg.Seaplane.Base.703884_TMY3,1197,7512
USA_OR_Lakeview.AWOS.725976_TMY3,634,7531
USA_WY_Cheyenne.Muni.AP.725640_TMY,586,7533
USA_ID_Pocatello.Muni.AP.725780_TMY3,844,7550
USA_CO_Durango-La.Plata.County.AP.724625_TMY3,763,7562
USA_NV_Elko.Muni.AP.725825_TMY3,911,7577
USA_WY_Sheridan.County.AP.726660_TMY3,771,7587
USA_WA_Fairchild.AFB.727855_TMY3,635,7612
USA_OR_Burns.Muni.AP.726830_TMY3,655,7625
USA_WY_Cheyenne.725640_TMY2,579,7643
USA_WY_Cheyenne.Muni.AP.725640_TMY3,571,7669
USA_NV_Elko.Muni.AP.725825_TMY,848,7671
USA_ID_Pocatello.725780_TMY2,753,7690
USA_NV_Elko.725825_TMY2,795,7744
USA_NV_Ely-Yelland.Field.724860_TMY3,645,7759
USA_AZ_Flagstaff.723755_TMY2,444,7772
