,Cdd,Hdd
USA_AK_Valdez.702750_TMY3,65,9360
USA_AK_Juneau.Intl.AP.703810_TMY,49,9402
USA_AK_Whittier.702757_TMY3,42,9404
USA_ND_Minot.Intl.AP.727676_TMY,651,9464
USA_MN_Thief.River.AWOS.727555_TMY3,517,9505
USA_MI_Sault.Ste.Marie-Sanderson.Field.727340_TMY,326,9542
USA_AK_Cold.Bay.AP.703160_TMY3,32,9547
USA_ND_Fargo-Hector.Intl.AP.727530_TMY,810,9551
USA_MN_Cloquet.AWOS.726558_TMY3,448,9561
USA_AK_Cold.Bay.703160_TMY2,32,9579
USA_AK_Birchwood.702746_TMY3,83,9610
USA_CO_Gunnison.County.AWOS.724677_TMY3,357,9644
USA_ME_Caribou.Muni.AP.727120_TMY,323,9682
USA_MT_Sidney-Richland.Muni.AP.727687_TMY3,729,9722
USA_ND_Jamestown.Muni.AP.727535_TMY3,738,9722
USA_ME_Caribou.727120_TMY2,305,9730
USA_AK_Homer.AP.703410_TMY3,38,9734
USA_MN_Hallock.727478_TMY3,754,9750
USA_MN_Ely.Muni.AP.727459_TMY3,455,9779
USA_AK_Yakutat.State.AP.703610_TMY,39,9786
USA_MN_Duluth.Intl.AP.727450_TMY3,348,9808
USA_ND_Grand.Forks.Intl.AP.727576_TMY3,769,9819
USA_AK_Yakutat.703610_TMY2,36,9834
USA_AK_Shemya.AFB.704140_TMY3,34,9909
USA_ME_Edmundston-Northern.Aroostook.Rgnl.AP.726083_TMY3,313,9918
USA_AK_Iliamna.AP.703400_TMY3,76,9926
USA_MN_Fosston.AWOS.727505_TMY3,458,9960
USA_AK_Big.River.Lake.702986_TMY3,102,9972
USA_WY_Jackson.Hole.AP.725776_TMY3,332,9982
USA_ME_Caribou.Muni.AP.727120_TMY3,367,10037
USA_MN_Roseau.Muni.AWOS.727477_TMY3,374,10040
USA_AK_Port.Heiden.703330_TMY3,36,10127
USA_AK_Kenai.Muni.AP.702590_TMY3,59,10127
USA_MN_Duluth.Intl.AP.727450_TMY,354,10139
USA_AK_Soldotna.702595_TMY3,68,10210
USA_AK_Anchorage.Intl.AP.702730_TMY3,64,10221
USA_MN_Hibbing-Chisholm.Hibbing.AP.727455_TMY3,473,10246
USA_MN_Eveleth.Muni.AWOS.727474_TMY3,502,10249
USA_MN_Duluth.727450_TMY2,307,10381
USA_CO_Leadville-Lake.County.AP.724673_TMY3,143,10407
USA_AK_Hayes.River.702495_TMY3,88,10459
USA_MN_Crane.Lake.AWOS.727473_TMY3,380,10462
USA_AK_Anchorage.702730_TMY2,70,10462
USA_AK_Togiak.Village.AWOS.703606_TMY3,67,10466
USA_AK_Chulitna.702606_TMY3,72,10547
USA_AK_Dillingham.AWOS.703210_TMY3,48,10553
USA_AK_Homer.AP.703410_TMY,35,10602
USA_MN_International.Falls.Intl.AP.727470_TMY3,485,10607
USA_AK_St.Paul.Island.AP.703080_TMY3,32,10640
USA_MN_Silver.Bay.Muni.AP.727556_TMY3,258,10655
USA_MN_International.Falls.727470_TMY2,333,10675
USA_MN_Orr.Rgnl.AP.726544_TMY3,378,10770
USA_AK_Healy.River.AP.702647_TMY3,95,10789
USA_MN_International.Falls.Intl.AP.727470_TMY,332,10813
USA_AK_King.Salmon.AP.703260_TMY3,62,10814
USA_AK_Talkeetna.State.AP.702510_TMY3,115,11090
USA_AK_St.Paul.Island.703080_TMY2,32,11159
USA_AK_King.Salmon.703260_TMY2,59,11528
USA_AK_Aniak.AP.702320_TMY3,52,11575
USA_AK_Mekoryuk.702185_TMY3,33,11610
USA_AK_Anvik.702075_TMY3,83,11680
USA_AK_Talkeetna.702510_TMY2,90,11687
USA_AK_Sleetmute.703407_TMY3,298,11725
USA_AK_Saint.Marys.AWOS.702005_TMY3,46,11820
USA_AK_Emmonak.702084_TMY3,46,11829
USA_AK_Hooper.Bay.702186_TMY3,36,12016
USA_AK_King.Salmon.AP.703260_TMY,52,12060
USA_AK_Bethel.AP.702190_TMY3,54,12121
USA_AK_Eielson.AFB.702650_TMY3,152,12350
USA_AK_Unalakleet.Field.702070_TMY3,33,12409
USA_AK_Big.Delta-Allen.AAF.702670_TMY3,231,12853
USA_AK_Minchumina.702460_TMY3,151,12871
USA_AK_Nenana.Muni.AP.702600_TMY3,133,13078
